2.842559e-05,2.839172e-05,2.837943e-05,2.837064e-05,2.836692e-05,2.83641e-05,2.835766e-05,2.835333e-05,2.740437e-05,5.024699e-06,-2.029764e-07,1.264906e-07
2.839172e-05,2.836171e-05,2.835024e-05,2.834202e-05,2.833856e-05,2.833592e-05,2.832991e-05,2.832586e-05,2.737794e-05,5.019854e-06,-2.027806e-07,1.263687e-07
2.837943e-05,2.835024e-05,2.83391e-05,2.833113e-05,2.832777e-05,2.832521e-05,2.831937e-05,2.831545e-05,2.736792e-05,5.018018e-06,-2.027065e-07,1.263225e-07
2.837064e-05,2.834202e-05,2.833113e-05,2.832333e-05,2.832004e-05,2.831754e-05,2.831183e-05,2.830799e-05,2.736075e-05,5.016704e-06,-2.026534e-07,1.262894e-07
2.836692e-05,2.833856e-05,2.832777e-05,2.832004e-05,2.831678e-05,2.831431e-05,2.830865e-05,2.830485e-05,2.735773e-05,5.016149e-06,-2.02631e-07,1.262754e-07
2.83641e-05,2.833592e-05,2.832521e-05,2.831754e-05,2.831431e-05,2.831185e-05,2.830623e-05,2.830245e-05,2.735543e-05,5.015727e-06,-2.026139e-07,1.262648e-07
2.835766e-05,2.832991e-05,2.831937e-05,2.831183e-05,2.830865e-05,2.830623e-05,2.830071e-05,2.8297e-05,2.735018e-05,5.014765e-06,-2.025751e-07,1.262406e-07
2.835333e-05,2.832586e-05,2.831545e-05,2.830799e-05,2.830485e-05,2.830245e-05,2.8297e-05,2.829332e-05,2.734665e-05,5.014117e-06,-2.025489e-07,1.262243e-07
2.740437e-05,2.737794e-05,2.736792e-05,2.736075e-05,2.735773e-05,2.735543e-05,2.735018e-05,2.734665e-05,0.0002828586,0.0001868175,3.033426e-05,1.06163e-05
5.024699e-06,5.019854e-06,5.018018e-06,5.016704e-06,5.016149e-06,5.015727e-06,5.014765e-06,5.014117e-06,0.0001868175,0.0001968682,8.399694e-05,2.251442e-05
-2.029764e-07,-2.027806e-07,-2.027065e-07,-2.026534e-07,-2.02631e-07,-2.026139e-07,-2.025751e-07,-2.025489e-07,3.033426e-05,8.399694e-05,0.0002982725,6.615137e-05
1.264906e-07,1.263687e-07,1.263225e-07,1.262894e-07,1.262754e-07,1.262648e-07,1.262406e-07,1.262243e-07,1.06163e-05,2.251442e-05,6.615137e-05,0.0003725415
